activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
standing to urinate,,
standing to walk into another room,,
standing too close to a barrel fire,,
standing too close to a bonfire,,
standing too close to a heater,,
standing top of stairs,,
standing under a low sloped ceiling,,
standing under a tree,,
standing under a tree that was being trimmed,,
standing under a window,,
standing under metal playground equipment,,
standing under porch,,
standing under stairs,,
standing underneath tv mounted on wall,,
standing up,,
standing up after a fall,,
standing up after a picture,,
standing up after having bm,,
standing up after lying in bed,,
standing up against cupboard,,
standing up and fell out of the cart,,
standing up and walking,,
standing up and walking from bed,,
standing up at toilet,,
standing up during pe,,
standing up from a chair,,
standing up from a chair to walk,,
"standing up from a chair, standing up from the couch",,
standing up from a commode,,
standing up from a couch,,
standing up from a desk,,
standing up from a toilet,,
standing up from bed,,
standing up from bed and reaching for walker,,
standing up from bed to get walker,,
standing up from bench,,
standing up from bending position,,
standing up from chair,,
standing up from commodex,,
standing up from computer,,
standing up from couch,,
"standing up from couch, walking",,
standing up from desk,,
standing up from dinner,,
standing up from dinner table,,
standing up from floor,,
standing up from folding chair,,
standing up from hammock,,
standing up from her bed,,
standing up from her chair,,
standing up from her desk,,
standing up from his chair,,
standing up from his desk,,
standing up from lawn chair,,
standing up from picking up his toy,,
standing up from reading,,
standing up from recliner,,
standing up from rocking chair,,
standing up from seat,,
standing up from seated position,,
standing up from seated position on the toilet,,
standing up from shower,,
standing up from sitting in her chair,,
standing up from sitting on an ottoman,,
standing up from sitting on couch,,
standing up from sitting on floor,,
standing up from sofa,,
standing up from table,,
standing up from the chair,,
standing up from the commode,,
standing up from the couch,,
standing up from the dinner table,,
standing up from the kitchen table,,
standing up from the sofa,,
standing up from the toilet,,
standing up from the toilet bowl,,
standing up from toilet,,
standing up from under a bookshelf,,
standing up from using toilet,,
standing up from wheelchair,,
standing up in a door frame,,
standing up in a shopping cart,,
standing up in a wagon,,
standing up in backset of atv,,
standing up in bathroom,,
standing up in bathtub,,
standing up in bed to catch an insect,,
standing up in bedroom,,
standing up in her stroller,,
standing up in highchair,,
standing up in shopping cart,,
standing up in shower,,
standing up in the grocery cart,,
standing up in the living room,,
standing up in the wagon,,
standing up in tub,,
standing up inside a shopping cart,,
standing up off a couch,,
standing up off his bed,,
standing up off of the toilet,,
standing up on a box,,
standing up on a kitchen chair,,
standing up on a table,,
standing up on bed to reach out to grab mom,,
standing up on chair,,
standing up on high chair,,
standing up on the couch,,
standing up out of a chair,,
standing up out of bed,,
standing up out of chair,,
standing up quickly,,
standing up quickly from bed,,
standing up running down a slide,,
standing up spinning in circles,,
standing up to get off couch,,
standing up to get out of a chair,,
standing up to get phone,,
standing up to go into another room,,
standing up to go to the bathroom,,
standing up to grab examination chair,,
standing up to grab walker,,
standing up to turn off alarm clock,,
standing up to urinate,,
standing up to use the bathroom,,
standing up to walk,,
standing up under table,,
standing up when getting out of bed,,
standing up while at dinner,,
standing up while mom giving her a bath,,
standing upright,,
standing upright on the couch,,
standing urinating,,
standing using sink,,
standing voiding,,
standing voiding using walker for support,,
standing waiting,,
standing while working on his broken sump pump,,
standing with chair,,
standing with crutches at restaurant,,
standing with dad,,
standing with hand resting in hinge of a door,,
standing with her hand over fence,,
standing with her walker,,
standing with her walker on her porch,,
standing with mom on steps in 3ft area of pool,,
standing with plastic building block in mouth,,
standing with roller skates on,,
standing with walker,,
"standing, diaper change",,
"standing, sitting on couch",,
standingreading,,
stands at the puzzle table,,
stapled finger to board,,
stapling papers,,
staring at a computer screen,,
staring at a spinning dice,,
staring at her computer,,
start a bonfire in firepit poured gas on fire,,
started a 5 mile exercise regimen,,
started a brand new detergent,,
started a cardio drumming class,,
started a fire on a grill,,
started a grill,,
started a new exercise,,
started a new exercise program,,
started a new exercise regimen,,
started a new laundry detergent,,
started a new medication,,
started a new spin cycle class,,
started a new workout program,,
started a new workout regimen,,
started a new workout regimen at the gym,,
started a new workout routine she walks in the afternoon,,
started a workout program,,
started an exercise regimen,,
started an exercise routine,,
started basketball practicems,,
started dance drill team,,
started football,,
started going downhill,,
started her period,,
started ketogenic diet,,
started methadone treatment,,
"started new bottle of cod liver oil, started using a new gel soap",,
started new exercise regiment,,
started snowblower in closed garage to change oil,,
started to fall,,
started to fall off ladder,,
started to fall off slide,,
started to feel dizzy,,
started to feel dizzy and fell,,
started to feel hot dizzy,,
started to feel sick,,
started to feel sick and dizzy,,
started to feel sick dizzy,,
started to sit in wheelchair,,
started using a new detergent,,
started using a new soap,,
started using new face wash,,
started using new lotion,,
started using satinlotion and soap,,
started wearing new shoes,,
started workout program w swimming,,
starting a bbq,,
starting a bonfire,,
starting a brand new exercise program,,
starting a charcoal grill,,
starting a cross stitching class and sewing,,
starting a dirtbike,,
starting a fire,,
starting a fire with gasoline,,
starting a generator,,
starting a grill,,
starting a lawnmower,,
starting a new bubble bath,,
starting a new exercise,,
starting a new exercise program,,
starting a new exercise routine,,
starting a new face wash,,
starting a power washer,,
starting a yoga regimen,,
"starting amoxicillin, exposed to new lotion",,
starting bonfire with gasoline,,
starting chain saw,,
starting cheerleading,,
starting exercise,,
starting fire for a grill using gasoline,,
starting fire in firepit,,
starting football practice,,
starting garden rotary tiller,,
starting gas leaf blower,,
starting generator,,
starting grill,,
starting her gas oven,,
starting his lawn mower,,
starting his power washer,,
starting his snow blower,,
starting lawn mower,,
starting lawn mower and reaching into blade,,
starting lawnmower,,
starting motorcycle,,
starting new bodywash,,
starting new exercise,,
starting new exercise routine,,
starting new laundry soap,,
starting new running regimen,,
starting on midodrine,,
starting on new exercises,,
starting propane heat,,
starting rotor tiller,,
starting shaking,,
starting snow blower,,
starting snowblower,,
starting softball practice,,
starting stretching exercises,,
starting the lawnmower,,
starting to feel dizzy,,
starting to use a new laundry detergent,,
starting to use a new soap,,
starting to use propane heater,,
starting to wear new shoes,,
starting track conditioning,,
starting track practice,,
starting up heating system,,
starting up the stairs,,
starting weed trimmer,,
starting weight training,,
starting workout program,,
starting yard trimmer,,
startled at school,,
startled by a rat,,
startled by a snake,,
startled by another student,,
startled by dog,,
startled by lizard,,
startled from bed,,
startled his daughter,,
stashing plastic bags up rectum,,
states at club,,
stationary bicycle workout,,
stay wgrandmother,,
stayed at a different house,,
stayed at a family members house,,
staying,,
staying a place where the mattress is infested with bedbugs,,
staying at *** house,,
staying at a friend's house,,
staying at a hotel,,
staying at a house,,
staying at aunts house,,
staying at campground,,
staying at daughters house,,
staying at grandmothers house,,
staying at grandparents,,
staying at his aunt's house,,
staying at hotel,,
staying at local center,,
staying at motel,,
staying at mothers house,,
staying at shelter,,
staying at the shelter,,
staying in a boarding house and using new soap,,
staying in a hotel,,
"staying in a hotel using different soap, laundry detergent",,
staying in a rental home,,
staying in a room,,
staying in a shelter,,
